Código municipal;Municípios;Percentual;Pop_Empregados;População
2300101;Abaiara;24,50;2459;10038
2300150;Acarape;16,49;2313;14027
2300200;Acaraú;14,37;9378;65264
2300309;Acopiara;20,48;9208;44962
2300408;Aiuaba;28,15;3962;14076
2300507;Alcântaras;25,54;2904;11369
2300606;Altaneira;41,16;2791;6782
2300705;Alto Santo;20,74;2936;14155
2300754;Amontada;21,63;9118;42156
2300804;Antonina do Norte;32,42;2349;7245
2300903;Apuiarés;20,42;2640;12928
2301000;Aquiraz;12,22;9855;80645
2301109;Aracati;12,22;9179;75113
2301208;Aracoiaba;24,25;6197;25553
2301257;Ararendá;33,21;3685;11096
2301307;Araripe;24,04;4756;19783
2301406;Aratuba;26,66;2992;11224
2301505;Arneiroz;42,51;3158;7429
2301604;Assaré;22,86;4960;21697
2301703;Aurora;18,54;4397;23714
2301802;Baixio;40,77;2326;5704
2301851;Banabuiú;27,87;4792;17195
2301901;Barbalha;13,59;10197;75033
2301950;Barreira;13,68;3063;22392
2302008;Barro;19,61;3801;19381
2302057;Barroquinha;28,27;4118;14567
2302107;Baturité;17,01;5991;35218
2302206;Beberibe;13,9;7383;53114
2302305;Bela Cruz;21,6;7079;32775
2302404;Boa Viagem;20,47;10319;50411
2302503;Brejo Santo;15,07;7699;51090
2302602;Camocim;22,08;13762;62326
2302701;Campos Sales;26,23;6593;25135
2302800;Canindé;15,35;11386;74174
2302909;Capistrano;30,71;5299;17254
2303006;Caridade;26,64;4363;16377
2303105;Cariré;23,68;4175;17632
2303204;Caririaçu;25,05;6593;26320
2303303;Cariús;16,62;2828;17015
2303402;Carnaubal;20,44;3518;17210
2303501;Cascavel;14,33;10421;72720
2303600;Catarina;26;2663;10243
2303659;Catunda;31,89;3331;10444
2303709;Caucaia;9,56;34003;355679
2303808;Cedro;21,07;4708;22344
2303907;Chaval;21,92;2732;12462
2303931;Choró;27,93;3383;12113
2303956;Chorozinho;15,5;3125;20163
2304004;Coreaú;24,39;5110;20953
2304103;Crateús;15,97;12199;76390
2304202;Crato;16,02;20994;131050
2304236;Croatá;22,23;3886;17481
2304251;Cruz;15,78;4696;29761
2304269;Deputado Irapuan Pinheiro;39,09;3492;8932
2304277;Ereré;32;2072;6474
2304285;Eusébio;14,46;10725;74170
2304301;Farias Brito;29,75;5420;18217
2304350;Forquilha;21,48;5192;24173
2304400;Fortaleza;11,23;272744;2428708
2304459;Fortim;15,97;2762;17294
2304509;Frecheirinha;16,53;2588;15657
2304608;General Sampaio;30,8;2074;6734
2304657;Graça;28,47;3929;13801
2304707;Granja;26,37;14067;53344
2304806;Granjeiro;31,6;1530;4841
2304905;Groaíras;20,6;2247;10910
2304954;Guaiúba;21,24;5167;24325
2305001;Guaraciaba do Norte;13,54;5694;42053
2305100;Guaramiranga;22,02;1245;5654
2305209;Hidrolândia;22,84;4078;17855
2305233;Horizonte;7,53;5629;74755
2305266;Ibaretama;26,47;3165;11956
2305308;Ibiapina;14,3;3427;23965
2305332;Ibicuitinga;29,39;3412;11611
2305357;Icapuí;15,11;3239;21433
2305407;Icó;17,44;10925;62642
2305506;Iguatu;14,91;14621;98064
2305605;Independência;14,3;3435;24024
2305654;Ipaporanga;36,27;4198;11575
2305704;Ipaumirim;22,95;2773;12083
2305803;Ipu;18,14;7452;41081
2305902;Ipueiras;25,24;9288;36798
2306009;Iracema;19,86;2781;14001
2306108;Irauçuba;25,14;6012;23915
2306207;Itaiçaba;22,4;1688;7536
2306256;Itaitinga;8,4;5431;64650
2306306;Itapajé;15,36;7131;46426
2306405;Itapipoca;15,47;20285;131123
2306504;Itapiúna;27,02;4821;17841
2306553;Itarema;16,18;6950;42957
2306603;Itatira;27,29;5574;20424
2306702;Jaguaretama;19,16;3302;17232
2306801;Jaguaribara;26,68;2763;10356
2306900;Jaguaribe;12,64;4263;33726
2307007;Jaguaruana;16,93;5367;31701
2307106;Jardim;17,1;4687;27411
2307205;Jati;19,95;1568;7861
2307254;Jijoca de Jericoacoara;19,05;4868;25555
2307304;Juazeiro do Norte;10,08;28841;286120
2307403;Jucás;16,76;4009;23922
2307502;Lavras da Mangabeira;20,53;6324;30802
2307601;Limoeiro do Norte;12,83;7642;59560
2307635;Madalena;26,68;4508;16896
2307650;Maracanaú;9,17;21504;234509
2307700;Maranguape;11,33;11907;105093
2307809;Marco;9,03;2330;25799
2307908;Martinópole;30,93;3355;10846
2308005;Massapê;21,5;8105;37697
2308104;Mauriti;20,38;9285;45561
2308203;Meruoca;23,36;3541;15157
2308302;Milagres;20,47;5302;25900
2308351;Milhã;23,76;3356;14123
2308377;Miraíma;33,73;4788;14196
2308401;Missão Velha;14,09;5188;36822
2308500;Mombaça;16,84;6355;37735
2308609;Monsenhor Tabosa;29,08;4987;17149
2308708;Morada Nova;12,04;7398;61443
2308807;Moraújo;22,4;1849;8254
2308906;Morrinhos;20,57;4680;22753
2309003;Mucambo;29,44;4023;13666
2309102;Mulungu;21,77;2301;10569
2309201;Nova Olinda;20,21;3112;15399
2309300;Nova Russas;21,79;6689;30699
2309409;Novo Oriente;20,2;5564;27545
2309458;Ocara;21,66;5305;24493
2309508;Orós;18,2;3581;19675
2309607;Pacajus;8,52;6048;70983
2309706;Pacatuba;12,38;10093;81524
2309805;Pacoti;22;2461;11186
2309904;Pacujá;35,32;2181;6175
2310001;Palhano;18,83;1760;9346
2310100;Palmácia;24,08;2466;10242
2310209;Paracuru;12,17;4744;38980
2310258;Paraipaba;13,54;4362;32216
2310308;Parambu;25,66;8069;31445
2310407;Paramoti;37,75;3920;10384
2310506;Pedra Branca;27,59;11088;40187
2310605;Penaforte;22,46;2015;8972
2310704;Pentecoste;16,06;6073;37813
2310803;Pereiro;21,74;3321;15274
2310852;Pindoretama;16,37;3829;23391
2310902;Piquet Carneiro;21,32;3543;16616
2310951;Pires Ferreira;24,63;2612;10606
2311009;Poranga;26,9;3245;12065
2311108;Porteiras;19,79;3374;17050
2311207;Potengi;25,02;2210;8833
2311231;Potiretama;34,59;2066;5974
2311264;Quiterianópolis;28,01;5662;20213
2311306;Quixadá;16,35;13761;84168
2311355;Quixelô;24,7;3930;15910
2311405;Quixeramobim;15,12;12425;82177
2311504;Quixeré;12,14;2534;20874
2311603;Redenção;19,76;5377;27214
2311702;Reriutaba;29,69;5524;18606
2311801;Russas;14,43;10524;72928
2311900;Saboeiro;31,97;4429;13854
2311959;Salitre;20,12;3347;16633
2312205;Santa Quitéria;18,93;7607;40183
2312007;Santana do Acaraú;20,95;6417;30628
2312106;Santana do Cariri;23,15;3925;16954
2312304;São Benedito;10,93;5207;47640
2312403;São Gonçalo do Amarante;16,86;9129;54143
2312502;São João do Jaguaribe;23,8;1393;5855
2312601;São Luís do Curu;17,56;1900;10822
2312700;Senador Pompeu;19,16;4649;24266
2312809;Senador Sá;29,13;2115;7262
2312908;Sobral;15,51;31489;203023
2313005;Solonópole;21,69;3943;18179
2313104;Tabuleiro do Norte;12,17;3730;30652
2313203;Tamboril;21,49;5333;24815
2313252;Tarrafas;23,37;1760;7529
2313302;Tauá;17,53;10733;61227
2313351;Tejuçuoca;23,74;4072;17154
2313401;Tianguá;13,63;11109;81506
2313500;Trairi;16,68;9744;58415
2313559;Tururu;23,03;3549;15412
2313609;Ubajara;13,96;4574;32767
2313708;Umari;41,67;2863;6871
2313757;Umirim;18,6;3249;17470
2313807;Uruburetama;17,13;3458;20189
2313906;Uruoca;32,97;4532;13746
2313955;Varjota;23,61;4275;18105
2314003;Várzea Alegre;16,62;6479;38984
2314102;Viçosa do Ceará;19,87;11865;59712
